0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
1.0299675,1.1466371,0.9983285,0.6255956,0.75955606,1.198856,-0.9492729,1.0171256,1.3219677,1.4371066,-1.7522768,-0.31417897,-0.66434306,0.8379452,-0.6456143,0.5157326,-0.51806474,-0.0059192926,-1.6995828,0.96817625,-1.1388083,-0.09840885,1.1555166,-0.6382662,0.4674524,0.7055899,0.023620546,-0.36518818,0.018207192,-0.4406873,-0.6770821,0.80556285,0.9052509,0.9066489,-0.42253506,-0.13557172,-0.31476906,-0.55101925,-0.22860408,-0.4330444,0.9128438,0.66129684,1.218895,-0.27324945,0.06248013,1.1338981,-2.3999655,-1.0426617,-1.0673482,-0.24228245,-1.4784424,-0.8576628,0.25829515,0.057483584,-1.1290839,-0.11864422,1.0370725,0.59679544,-1.2276285,0.6003187,-0.19945885,1.8764423,1.2702886,1.1107473,0.859561,-0.35910863,0.6107874,-0.75304604,1.1401057,-0.5520206,1.2852187,-0.033976644,-1.5059168,-0.16233335,-0.50743574,1.8884943,-0.41601723,-1.4071598,0.08411314,1.4736438,-0.9293191,0.33313695,0.4493657,-2.0384169,-0.24202272,-0.26679808,-1.09849,1.845193,0.065809235,-0.31216538,0.95496535,-0.71716225,-0.3431285,-0.18397021,-0.40001217,0.72326547,-0.760179,0.2858184,0.7656188,0.98282635,0.7329697,-1.2783731,-1.2704066,1.0917011,-0.23977822,-1.2421403,-0.881359,1.4953096,-0.9877303,0.2793197,-0.3537506,-2.061864,0.95950013,0.7704733,-0.58764035,0.15075746,0.8898177,0.51576805,-0.8307015,0.018931247,1.2073119,-0.2976685,-1.4033254,0.7457754,-0.975223,-0.9153139,0.010838062,1.4283361,0.5545714,-2.0279,0.18087766,-0.33632302,-0.057070732,-1.4548769,-2.3776755
-2.2034168,-0.50898105,-0.7958465,-0.5504358,-1.856964,-0.81413907,-0.38225228,1.6460328,0.53429145,-1.4089541,1.4082658,-0.9960365,-0.35802102,-0.5456636,-2.3147752,0.94502234,-1.3994238,-0.4571833,-0.5374022,0.15797105,-0.15295565,-0.983356,-0.1618917,-2.43255,-0.9653292,0.067031264,0.673742,-0.40254492,-1.2292666,-3.324833,0.028221816,0.6714613,-1.4495108,-0.86619854,-1.4580774,0.71894646,-0.14660424,-1.6408416,-1.250057,1.3867444,-0.3576544,-0.28118095,-1.2145694,-0.3209981,-0.7221338,1.0412028,-0.20411202,-1.9044677,-0.73376155,0.002115041,-2.0003622,-0.5484455,-0.95931995,2.3345509,-0.2757751,-0.13277434,-0.64664435,1.7950213,-0.5286713,0.116055295,-0.16004023,-1.2196633,-1.4708371,-0.8753201,0.61883676,-0.8358056,0.3029557,1.2375361,-1.0257008,0.3402135,-0.6207719,1.6391816,-1.9627056,0.5470966,-0.25580525,-1.9901984,1.0905263,-0.7888062,-1.1591368,1.3408188,-1.8427173,-0.18696946,-1.1773808,-1.4234365,-0.6724331,-0.63360107,2.307953,2.5486197,0.15930544,-0.74318516,-1.5070636,-0.5374114,-0.7945607,-0.6859015,-1.818533,-0.85522294,-2.5659485,-1.5547899,-0.40916553,-0.3029372,-0.39347252,-1.1029074,-0.25473708,-1.1993746,-1.3273817,-0.16014683,0.99665666,-0.56892204,-2.2163153,0.19387442,0.8603045,1.6746026,0.3076895,-0.82751155,-0.5611761,1.7735009,-2.0335598,-0.94416386,-0.081875175,-0.9589566,0.25770372,-1.0968951,-1.5175683,-0.46065944,0.32963985,-0.41703835,-0.58743674,0.15220031,-2.5115848,-2.315323,-0.8471651,-0.4448594,-1.1232008,-0.075445846,-0.41242272
0.69746304,-0.02918129,0.24358067,0.27734518,-0.6565393,1.5226436,0.16036144,0.4582692,-1.0341239,1.6543152,0.29668534,0.25187248,-0.6243399,-0.6968162,-0.39209628,-0.9655585,-0.47380996,-0.025828779,-1.6353273,-0.033559725,-0.92046255,0.4079414,0.03690225,1.156069,-1.1980722,1.0115967,0.962419,0.15932718,-0.2156254,-1.6469089,0.23277125,-0.23120406,0.2110044,0.33478448,-0.6541641,0.49718457,0.5821632,-1.2437018,-0.0064293444,-0.42934546,1.6847403,1.403298,0.15035498,-1.3420395,-0.9905706,0.481111,0.9212755,-0.33556056,-0.72625405,-0.14517018,-0.8268069,-0.78743434,1.1105481,1.5087922,-0.6557225,0.07206198,-0.15890366,1.1419902,0.8699143,0.1911913,-0.31503212,-0.5061699,-1.1246545,1.0506078,0.31479347,-1.0213386,1.5518546,-0.6670817,0.59404093,1.0220662,0.00812386,0.40805045,-1.2866226,-0.5525039,0.5154346,0.40903622,0.7278621,-0.2588089,0.5335452,0.42589495,-0.17073147,-0.4446892,0.52757317,-0.49783555,-0.79810554,0.18273924,1.2037711,1.4041091,0.4237044,0.6930312,-0.9188775,0.039836675,-0.80535114,0.51354235,0.50263643,-1.1845281,-0.3570368,0.33187017,1.7139552,1.4037282,0.8574826,-0.31007078,0.758547,-0.490696,-0.40517843,0.9202055,-0.013107538,-0.5525392,-0.22903615,0.9425119,-0.09681715,0.08894415,0.46875787,-1.0774448,1.3133109,-0.028234005,1.6305767,1.2457566,-0.20019615,0.06355558,0.21477029,0.22264639,0.29368618,0.2741351,-0.9398616,1.4269526,-0.13370861,-1.1311938,1.076768,-1.622607,-0.44309074,-0.8853211,-1.3834004,0.21223412,0.5012937
0.3815895,-0.81500924,-0.6188265,-0.109891884,-0.3478153,-0.10396461,-0.7969917,1.9925265,0.34529376,0.92047983,0.9635451,-0.22899747,-0.90994054,-0.21538027,-2.418041,-0.9086548,0.4986668,-1.2166852,-1.9714756,-1.55994,-0.8981465,0.083148405,0.102275014,0.41017586,-0.935871,0.7515512,1.1607473,0.29502082,-1.440578,-3.673323,0.10259271,0.6549376,-0.85245967,-0.6229239,-0.6094033,1.691266,1.1485257,-0.015302569,-0.8007029,1.2342184,2.3975544,0.75098336,-1.8130301,-0.013247145,0.6610848,-0.2854008,-0.38915765,0.91821706,0.4638728,-1.4856603,-1.8685733,2.0451615,0.57583904,0.90897346,-0.6892025,0.15592222,-0.68269396,1.3618947,1.488987,1.6613953,0.214306,0.84900594,-1.8468425,1.5364008,-2.5800188,-0.9527778,-0.3196095,-0.45631784,0.8136199,1.0594233,-0.05158055,-0.041082233,-2.1836033,1.2545129,1.1006365,1.0891494,-0.4457398,-0.8254104,-1.7141244,-2.4289594,-0.9193025,-0.016658247,-0.21355346,-1.1982644,-0.710486,-1.2496009,0.38880038,1.29937,-2.350824,-0.39491576,-2.3053937,0.91454756,0.67877984,-0.9651885,0.85092163,-0.5591511,-1.2507615,-0.9492849,1.182447,-0.49603772,-0.39304626,-0.8023579,-0.21071437,-1.0598042,-0.8226454,-0.09930596,-0.2047039,0.8924321,-1.1248872,-0.1312035,1.0531341,0.71276295,1.549439,-0.23690236,-0.69525766,1.5806752,-1.3514413,-1.4755135,0.018036366,-1.0894319,0.1793538,0.07429314,-0.44718522,-0.30953074,0.1503838,0.8305805,0.22619465,0.88117236,-1.5069023,-1.2591636,-1.0602487,-0.56766254,0.24730688,-0.17046177,-3.236114
-1.3406147,-0.11016899,0.29505274,-0.40473184,-0.6408193,0.38249165,0.8286931,1.1641513,-0.14393678,1.4188397,1.1850306,-0.35397628,-0.08879441,-1.0835742,-0.68555486,-0.970644,-1.6970739,0.7674457,-1.8184936,0.88928616,-0.74154663,0.64066505,0.069634214,-0.7834275,-1.1002352,0.09277874,0.9655296,-0.9031895,-1.1132742,-2.406667,-0.301921,0.18483436,0.8990021,-1.0311127,-0.92787194,0.7477647,-0.33491543,-0.57358354,-0.49305567,0.00051125884,-0.17214364,-0.8908775,0.46945745,-0.465768,-0.40904486,0.27192387,0.011112183,-1.1327131,-0.8306484,0.81127506,-1.4455621,-0.8396266,0.97955334,1.169468,-0.20368454,-0.6209687,-0.29242724,0.8904245,0.8285115,-0.21733993,-0.69144154,0.45461574,0.052548848,0.7357815,-0.047524825,-0.90255773,0.46249148,0.13967326,-1.6937097,0.88151264,0.6938111,-0.41115314,-1.0597916,-0.7716097,-0.20354053,-0.24287787,0.9264796,-1.233141,0.19011618,0.85900956,-1.1987212,1.0502362,-0.6195672,-0.93807966,0.31472057,0.9959401,1.2011333,0.34293866,-0.2778292,0.03728956,0.6645551,0.05470118,-0.4232517,-0.22308508,-0.96850014,-0.53499615,-1.089252,1.8038727,0.43714145,2.110993,0.78578967,-1.3489978,0.31674123,0.7802002,0.2708561,0.1845518,-0.42045265,-0.1230652,-1.4628227,0.48918518,-0.35726926,-0.31629902,0.3197803,-0.52973634,-0.14132378,0.66813457,1.324214,-0.06218189,0.74106145,-0.15762079,0.3795619,-1.620245,0.44402656,0.4074945,-0.8424054,-2.0056922,0.45937058,-0.749146,-0.14548272,-1.2439537,-0.541785,1.8134663,0.25129348,-1.1868649,0.34886038
1.7508994,1.1956575,-0.44583106,-0.9369167,0.7498913,-0.817663,-0.32292092,0.20028907,-0.45923764,-1.1910822,-0.68882525,-0.15291575,-1.6203935,-0.67121863,-1.1591897,0.21526682,-0.30916634,-0.040998176,-0.1818999,-0.15232009,0.54422724,0.9956362,0.20810075,0.8660668,-1.7677654,1.0754199,-0.18835193,-0.5978875,-0.34049648,-0.79954875,0.9317381,0.065559946,0.5387194,0.8210006,-0.6195601,0.5726973,0.57587475,-0.37959477,-0.51935923,-0.14824235,-0.12161839,0.5231732,-0.6605967,0.4993004,0.3887487,0.78037286,-0.5795531,-1.0735372,-0.35852805,1.3809564,-0.9907439,-1.1480168,-1.2255789,1.4597304,-1.7715456,1.2323117,0.72879195,1.4493577,-0.19791955,1.0040362,-1.3794645,-0.5750747,0.056358203,-0.38657767,-0.21982108,-1.4036378,0.4302,1.0660715,0.655458,-0.8866972,0.41469467,0.69695896,-1.5454274,-1.1517297,0.13130832,0.047058582,1.7941802,-0.19394909,-0.29538462,-0.081518225,0.061990052,1.0210775,1.0119184,-0.3178861,0.14128706,0.64334655,-1.1220009,1.1183479,-1.0213261,-0.35399467,3.0130348,-0.32088766,-0.98845494,1.955648,-0.08542006,-1.3820778,-0.4287844,-0.5116357,-0.5521127,0.45065922,-0.5694446,-0.33016306,0.6262208,0.60866666,0.9158849,-0.06069842,-0.38245568,1.1909499,-0.33460557,1.1544482,2.5048213,-0.6806527,0.99862003,-2.2829084,0.31381738,-0.78565454,-0.7924735,2.2649531,-1.2113031,0.042541437,1.6496919,0.51978123,-0.9490944,-0.15458441,-0.92308944,-1.2855769,-0.52935797,1.9625851,0.28216287,-0.83944,0.79556847,0.97267544,0.8892668,-0.872323,-0.33844507
-0.007586807,0.7200836,1.4833364,0.29784214,0.27654567,-0.55780417,0.80657154,-0.89688563,1.167864,1.1990044,-1.5006056,-1.0387052,0.9568719,-0.06638077,-1.8923819,1.6080532,0.2115095,-0.6530911,-1.6273727,1.2390302,-1.3331759,0.48950374,0.6615927,-0.10862005,-0.60204667,0.9403643,0.7556978,-0.7122484,-1.5609155,-3.316651,1.1914885,0.9210404,0.7943711,-0.27263132,-0.8929988,0.116087586,1.1105016,0.4608404,0.5907393,-0.3015454,-0.25281972,0.6075376,-1.0882547,0.26697695,1.889163,-0.27406132,-1.1047301,-0.60953534,0.25388706,0.70126706,-1.7458192,-0.08526018,-0.16455537,0.7620415,-0.124542564,0.54694617,-0.8945741,0.1658875,1.2961552,1.5926244,-0.5910445,0.7805084,-0.88937354,-0.6708405,-0.6990321,-1.6612267,0.5783965,-0.2058138,-0.82892156,-1.2645316,0.34784007,0.28106514,-0.9034159,0.67246747,0.4183381,-0.5966935,1.0758077,0.090254255,-0.0377043,0.24160948,-1.704124,-0.9020631,-0.46404028,-0.22439201,-0.7487197,-0.24494685,1.2581308,1.8483999,0.7896681,-0.4141829,-0.97620845,-3.0646574,0.05076751,1.6737088,0.08450043,0.2252383,-0.93207675,-0.5428767,0.120158434,0.11930716,0.22581369,-0.4572343,-0.75356275,-0.14686923,-1.838575,1.4046075,0.08120301,1.1901486,-1.1510015,0.42713833,-0.39594388,-0.7585195,0.8183695,1.5670872,-0.87369734,1.3800771,-3.774474,-0.83506805,-0.3594021,0.089964435,0.69343746,0.51844394,-0.6788418,-0.175152,-0.022319898,-0.816183,-0.06994504,0.75199264,-0.11921878,-1.413216,-0.47317675,-0.8749481,1.1450584,0.23690705,-1.1070644
1.4346459,0.39187565,-0.69612396,-0.3257995,1.5269154,0.722904,-0.05395396,1.3705866,-2.014218,1.2809688,0.7919085,-0.08383975,-0.35539693,-1.1001148,-1.4218969,1.0906599,0.87709713,1.4851732,-1.4120796,-2.6100388,-0.79924816,-0.119854,0.21891195,1.5479971,-0.45408088,1.0898545,0.21171856,0.8594217,-0.36525106,-1.3664486,-1.8943279,0.21664175,0.60825276,-0.15578091,-0.9787052,1.1267176,-1.0586776,-0.9912875,0.24597943,0.58626544,0.10687405,-0.055592954,1.0084611,-1.2028933,0.5651494,-0.07704735,1.0790342,-0.3346648,-0.16723037,-1.9425561,-1.9079207,-0.83594227,1.5688453,1.3452518,-1.3301055,-0.77020663,-2.214493,1.1693084,0.5782352,1.2462599,0.36805874,2.0922663,-0.9086021,1.4819301,0.048511416,-1.0123079,0.1982426,0.29325402,0.17727813,0.6353994,-0.4369322,-0.14499167,-1.6928618,0.68708676,1.616943,1.311255,1.967273,-0.57952297,-0.33937985,-4.1038303,-3.1861815,-0.10232633,-0.5657429,-1.9986753,0.11327375,2.0122323,0.21045107,1.5536591,-2.1999109,0.44622874,-0.5904472,-0.19853047,-0.6661653,-1.4824333,-0.16443959,-0.6590456,-0.7960667,0.040868625,1.2928121,0.775159,1.7089489,-0.24299335,-0.10028561,-0.4214766,0.28960103,1.0498549,1.6039298,0.15594825,-1.3661325,1.0331194,0.861789,-0.031265076,0.058701545,-0.8981249,1.6011534,0.5081383,1.7835294,-1.4968555,-2.0145445,-2.8821466,0.45001906,0.30197814,-0.62519825,1.5468285,0.4339558,0.56145394,-0.032215267,-2.075073,-0.5071815,-1.4933231,-1.7305787,0.581167,-1.3665395,0.5883155,0.23615663
0.23023055,0.37896404,1.4457567,-1.1741313,-2.3904989,-0.46264744,-1.3846604,1.7815228,-1.3773341,1.6394491,1.0496325,0.49570715,-0.06177354,0.3342742,-1.6172504,2.2342265,-0.14008904,-0.26642558,-0.07234901,-0.29606107,-1.0396501,-0.7017728,-1.2954001,0.51318,-0.44248796,-0.5316983,-0.9641337,-0.7115003,-0.6168437,-2.216034,0.09546432,0.89719427,-1.8968548,-1.528176,-0.73308307,-0.013212234,-0.36310616,-0.90223587,-1.490129,-0.4262816,0.40354466,0.036301643,-0.5261402,-0.1079946,-0.7187986,0.635061,-0.1663225,-0.90029424,-1.1702901,-0.50827444,-1.3811643,-0.97336566,-0.26001477,-2.2795746,-0.39289606,-1.6364388,-0.64338624,-0.4721945,-0.38926488,0.19640347,-0.4120231,-0.6911051,-0.7212495,1.8955809,-0.042582884,-1.0305938,-0.72586906,0.20018834,-1.5998045,0.1413029,-0.5026554,0.78642756,-2.248187,0.41064346,-0.9762908,-1.2157913,0.638112,-0.75548375,-0.3224486,-0.35204273,-1.8905934,0.4013065,-0.56710595,-1.38334,-0.3223046,0.24029964,1.0949093,0.9290987,-0.4215613,-0.53149426,0.3077733,-0.9414278,-0.36070365,-2.4458244,-1.1083726,-0.3644197,-1.6243513,-1.6596894,0.8399291,-0.381212,1.1579626,-0.8337073,0.20649394,-1.9249798,-0.35806623,1.6311698,-0.5722931,-0.9606862,-1.9024574,1.7117271,1.4000893,-0.9754541,0.54317605,-1.3146968,-2.337712,0.4803765,0.97208893,-0.69735354,-0.64295137,-1.2883903,-0.13590696,0.3611516,-2.5935886,-0.37550926,0.14299454,0.18915014,0.5582942,-1.3115578,0.18822587,-1.7407401,-1.0158008,-1.5240607,2.3396053,-0.90737265,-0.59261656
0.811085,-0.015085559,0.87801725,0.89605397,0.82980883,1.0361359,1.4383253,1.1584525,-0.0027008802,1.0526907,1.0062423,0.050652005,0.14421901,-0.4191194,-0.21645015,-1.963431,-0.15463749,-1.3907062,-2.197982,0.7000133,-0.4824219,1.2357274,0.13177744,0.17389955,-0.61504096,0.54855037,1.1419034,-0.91036254,-0.0020255446,-0.35331923,-0.45056742,-0.24376264,0.6870938,0.68136764,0.51287234,1.2721074,-0.53055257,0.055285916,-0.43925896,0.33227503,1.5227466,0.29265815,-0.14497524,-0.21256502,0.05023653,0.74061185,-0.37635452,0.6821401,-0.18419003,0.37495503,-0.773587,-0.005359739,0.17941454,1.4752061,-0.51762617,0.82750225,0.8026012,1.1873555,1.0427978,0.5125117,-0.0009331703,0.50167006,0.7369297,1.400227,-1.551547,-0.07144585,-0.54923,-1.2894032,0.21086672,1.3591923,0.5226865,1.7410796,-0.949445,-0.3950007,-0.04865998,1.4063739,-0.4547,-0.56269485,-0.92011935,0.34955847,0.41349006,1.3509263,0.2480869,-1.1450739,-0.6174294,-1.1815476,0.07716638,-0.03501445,-0.6899704,-0.5041805,0.17742878,0.77554786,-0.27689743,-0.16218111,1.1208519,0.43575424,-0.7756481,1.0375849,0.37792647,0.4290653,-1.7641234,-0.5246035,0.45685253,1.0254548,0.3863085,-0.25147846,-1.4501972,1.1615987,0.6763825,-0.09746885,0.37944087,-0.23294301,1.0734628,-0.20081404,1.2878168,0.102286294,0.7570657,-0.047818244,0.8429507,0.7602928,0.6052275,-0.39113665,0.10055539,0.015304506,0.7965891,0.523362,0.25824127,0.7270395,-0.30742553,-0.9354994,0.25453824,1.4231632,-0.9032408,0.2755924,-0.9129313
