0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
0.48625302,0.6431714,-0.65403676,0.04153049,0.9479308,1.3313146,-0.2669715,-0.57753694,-1.4961088,-1.18252,0.628966,-0.3642573,-0.6533685,-1.0106347,-0.2196314,0.27838844,-1.0853015,0.63328636,0.64632887,-0.8415214,-0.4629395,-0.64486444,-0.74863917,1.214725,0.30435124,1.6818902,1.3279053,1.1294404,0.25740194,-1.0816718,1.2363273,0.45467272,-0.14683408,-0.0036474615,0.344489,-1.0144466,-0.6839992,-0.31208014,0.57741654,-0.4212851,-0.55113196,1.0303459,-0.81325936,-0.23899923,-0.10013777,-0.58519465,0.2886845,0.72104377,-1.3694363,1.2441798,-0.20308593,0.74797857,0.3838317,-1.3508915,0.35034007,0.5897778,0.6235627,0.41582173,0.6890511,0.26635006,0.96996987,-0.6122881,0.4843108,0.46332908,-0.5911454,0.91759807,0.8213395,0.25122693,-0.47637117,0.91329384,0.09605856,0.44562578,0.97745013,-1.2388567,-0.06236297,0.33474505,-0.10822545,0.5263558,0.68430567,0.20285213,-0.61573505,0.9724902,0.5169133,-0.71504974,0.95956075,0.73350275,1.4210076,-0.51136076,-0.78033805,-0.884977,-0.45003277,-0.13534123,-0.4769597,-1.0673827,-0.64451194,0.14037246,-0.2188119,0.50128347,0.6273773,-1.0918355,-0.1646587,-0.85514104,-0.12586027,-0.6880746,1.726434,0.026617978,0.5008147,0.7736933,-0.6715658,-0.46242535,-0.010649323,-0.43407235,1.350951,-1.0644035,0.426153,0.62357277,0.63160527,-0.41749755,0.31900543,0.23414429,-1.9781026,-0.22194488,-0.30803555,0.3696374,2.8074822,-0.111459404,-0.83985996,1.562437,0.8872918,0.32695925,-0.22718206,-1.1718335,0.023043483,0.8049623,1.1937437,-0.53746665,0.5475842,0.53574383,-1.0095081,1.0406995
-0.24036384,0.7879035,-0.26496336,1.1308984,0.09159121,0.6852592,-0.37489882,-1.2405152,-1.1975099,0.1582545,-0.10654268,0.920405,-1.0289792,-0.90612936,-0.76325035,0.085881114,1.5496229,-0.051274925,0.20734449,0.35592154,1.6689268,0.35775322,-0.6710639,1.305099,1.0485268,0.9586016,0.6215206,2.3292522,-1.747942,0.27193105,-0.87175924,-0.11748964,1.5218271,0.37086785,0.6838583,0.0676651,0.6576477,0.3796609,0.60890484,-0.045185506,0.37050977,0.5291558,0.49949446,-1.3953724,-1.0364851,-0.12174389,-0.19963947,1.2235746,-1.0006278,-2.6159568,0.71201605,0.2007913,-0.1744212,-0.31036925,0.0064176917,-0.40946862,1.6215873,-0.4598099,-0.0088879615,-0.03694731,0.35846403,0.13272098,1.7045416,-0.9569924,0.1897864,-1.3599806,-0.05261123,-0.52036804,0.040016353,-0.37650385,0.44599408,1.1604823,0.5687225,0.07838774,-0.9664533,1.0242746,-1.9096696,0.8300947,-1.1215762,-0.5570301,-1.6657065,0.7691311,-0.4743258,-1.0542543,0.088008255,0.8513391,0.24105364,0.073619455,-0.596631,0.3307244,1.3600075,0.23258156,0.8852463,0.9826678,-2.3070004,-0.9074129,0.3961288,0.26560682,-1.2979857,0.1966337,-1.5003082,0.16022694,-0.6516972,-1.095224,0.14244749,-0.69579536,1.1514437,1.2287964,0.17663854,-0.7943156,-0.31947273,-0.75320315,-0.26433498,-1.5617815,0.14898628,0.34600225,-0.54383576,0.58162606,0.71413517,0.7870204,-0.3619932,-0.5670457,0.55032253,-0.8452774,1.2450869,-1.6127657,-0.8683865,-1.1297574,0.5008481,0.2349938,-0.27700487,-1.0006745,-0.07907505,-0.13941637,0.8633003,0.0661993,0.11658507,-0.24767333,0.040008992,-0.8274877
-0.09028208,-0.7605918,-0.3400708,-0.25445664,0.5664057,-0.449344,-1.3340797,-0.77172077,-0.60550267,-1.0994732,-1.62089,0.27762815,0.31728193,-0.6616497,-0.31079692,0.63462955,-0.21179387,0.22059946,0.96905506,-0.9027869,-0.14778,0.38261333,-0.49543914,0.8798238,0.7959901,-0.3362376,1.4908042,0.9282063,-0.5134933,-1.1437845,-0.3623873,-0.50855374,0.118549824,0.32829052,-1.6822742,-1.2511752,-0.36223927,-0.76030016,2.1020927,0.93870556,0.76344264,1.3371549,0.47341624,-2.2423282,0.04807519,-1.0771809,-0.12123163,-0.024339378,-1.5543377,-1.1237326,1.0312574,0.64985156,1.5546354,-0.9966904,1.2609966,0.8005228,0.037397176,0.3801017,0.93075806,-0.41300035,-0.61950123,1.3814192,1.016626,-0.5540167,-1.6891247,-0.5502452,0.12796894,1.3817822,-1.7970176,0.6788386,0.26474944,-0.20254138,1.1692275,-0.28184035,-1.0609434,0.2689015,0.49355006,-0.07515889,-1.4007282,0.4791698,-1.4368688,-0.078692645,-1.421171,-1.414006,2.114336,0.7755215,0.346505,0.21883544,-2.296537,-0.08130061,-0.14024311,1.1742908,-0.31704313,-0.5414096,-1.9867668,-1.4325215,1.6878135,-0.059431016,-0.6174193,0.29193282,-0.9328277,-0.04360926,0.6718759,-1.6264515,2.3123178,-0.25771862,0.9422391,0.7108482,1.3859196,-1.4949849,-0.4392206,0.7514142,0.6473112,-0.7546463,-0.4286228,-0.4661633,0.0223118,-0.45643952,0.8866836,-0.51029,-0.41373742,-0.76210487,0.1200953,-0.45315865,1.6517104,-1.5987312,-0.8092036,0.2451765,-0.5887974,-0.19451106,0.14186123,-0.7779825,-0.5258206,0.4776126,0.9030558,-0.34639648,-0.10874285,-0.08741513,-0.8696244,0.3794019
1.1975338,1.1647857,-1.763758,-1.1589823,0.44174844,1.2278835,0.53320116,0.26063517,-0.19045836,-1.2243646,0.30927095,-0.050508805,1.6060946,-0.29043788,-0.35744968,0.8050983,0.6005895,-0.7642927,0.6594151,-0.22924194,-0.8964615,0.34378994,0.68763804,1.3124671,1.6229299,-0.43377584,-1.9416857,0.51500446,0.47484022,-0.29307967,1.1569387,-0.98598063,1.3355694,0.30539393,1.694583,-1.0517246,-0.560002,-0.697804,1.0438079,0.33436698,-0.28329834,1.7139621,0.77426493,-0.18190476,-0.15346654,1.8463576,-0.66712254,0.78104514,-0.765208,-0.2874971,1.8359638,0.39248618,0.33315745,-0.119376116,1.3481646,1.2181798,0.8505933,0.3705008,0.3239277,0.17281151,-0.67527926,-0.58098054,0.50979584,-0.09739718,0.6494899,-1.0742059,1.5716232,0.67838806,1.0789893,0.2947462,0.28610072,0.4879486,-0.42482406,-2.2463074,-1.2359952,0.15298516,0.32167095,-0.1707378,0.6171328,-0.3772658,0.14242724,1.0769398,-0.6533309,-0.16246185,0.14448756,0.51823044,0.8737447,-1.3353527,-1.3690262,-0.5698478,1.3684537,0.03774391,-0.4796487,-0.44943655,-1.4998374,-0.2009155,0.38573226,0.5559981,0.7799247,0.310121,0.6748512,-0.9661268,-1.0189145,-0.98976445,0.6383233,-0.3541866,-0.66193444,-3.8528273,0.17380947,-0.74422115,1.2754024,-0.3223264,0.6518564,-2.1893988,-0.78773516,0.2850099,1.5752901,-0.619717,-0.3383703,0.29281387,-0.6187563,-0.17507526,1.3805102,-0.4363984,1.0212492,-0.78614545,-1.2673246,-0.1698938,0.52991587,0.6325232,-0.18700239,-0.2641082,-0.6887757,0.81181,0.21521324,0.18876287,-0.17479986,0.514763,-0.15879662,-1.3139744
0.6944582,0.33002797,-0.97186893,0.060812116,0.7733081,0.91763604,-0.886541,0.52439064,-0.6693195,-0.4549582,-0.36157405,-0.35804886,-0.24206588,-0.680253,-0.85777557,1.3539665,-0.23331785,-0.040103287,0.61634284,-0.10033649,0.27774748,-1.2078713,0.1594501,0.69734716,0.9703046,0.012740314,1.1406593,0.85633135,-0.3802649,-1.4565918,-0.35250762,-0.124521025,0.832531,-0.054808374,1.6229031,-0.31824806,0.44160944,-1.1014479,0.8495428,1.1986387,0.17006141,0.5347062,1.0430645,-1.8231463,0.72233343,1.3914251,-0.4111678,0.99204504,-2.1114411,-0.9442134,-1.7995536,0.6988913,-0.6044248,-0.03281606,1.1708688,0.5538972,0.46581346,-1.1577183,0.8403104,-0.201312,-0.3008176,-0.12596302,-0.42499778,1.1382266,-0.6253538,0.7916918,1.3039654,1.1186807,-0.16279973,-0.6547728,-0.7131758,0.8887154,-0.1982552,1.2990746,-0.99277246,0.6384783,-0.17947145,0.028621972,-0.5624029,0.48987526,-1.5275128,1.2475748,-0.31761852,-0.88411176,2.0156097,0.27356493,-1.0188267,-0.6293167,-0.15618289,-0.06395368,1.3147953,-0.2628243,1.3483257,-1.0536184,-1.2058806,-1.1924785,1.0105592,-0.45490476,0.38332936,-0.6644728,-1.208932,-0.5869522,-1.0682576,-0.28497437,-0.7091357,-0.5962191,-0.19247764,-1.8904808,-0.5086539,-0.044974983,0.022626765,-0.34222648,0.030147582,-2.0945418,-1.0614064,-0.005592577,-0.90537894,-0.5713668,-0.195282,-1.2167184,-0.13461196,-1.0180573,-0.7289228,-0.44794285,1.4792393,-0.886834,-1.4007568,-0.6330783,0.32795095,-0.34389675,0.6115129,-0.24018583,-0.6535113,0.26492682,0.92742133,-1.1306983,0.70438224,-0.08529985,-1.6927601,-0.49622786
1.3960984,-1.9838405,-1.420325,-0.45117053,0.5657298,-1.9399852,-1.7606124,-1.9642162,-0.12936862,-1.8081568,-1.6841224,-0.45672294,-0.49779972,1.4923843,-1.2160069,-0.53940296,0.12808517,0.323676,1.0362928,-2.393425,0.17622286,-0.14976811,0.099948764,0.72837406,0.1556888,-0.06776786,0.7300112,-0.15408522,-0.28652844,-0.93502635,-0.40526268,-0.84395933,-0.79919654,0.7604172,0.029973447,-1.1489031,0.05025342,-1.078922,-0.05460307,0.2850237,0.29312453,-0.18977058,-0.9152967,-0.52519846,0.17880385,0.22295925,1.8558934,0.034056544,-2.1018128,1.9048058,-0.8098099,0.09746401,-0.41197324,-0.86445487,-0.5701379,0.6661008,1.0258927,-0.56337315,-0.7171533,0.1974373,1.4721034,1.4942139,-1.2162819,1.4963908,-1.5644253,-0.034940615,-0.6879195,1.7962196,1.3999063,0.9038351,-0.8309586,2.0531313,1.7527478,0.19900894,-1.455161,-0.5010093,1.6416928,-1.0263915,0.36792552,1.1688937,-1.165606,-2.505217,-0.53476346,-1.9452894,-0.9282092,-0.30416542,-0.10892379,-0.59783304,-0.25175536,-2.2999067,-1.4977596,0.71274805,-0.5676824,-1.9140142,-2.4574752,-2.3743432,-0.72109586,-0.9637103,0.953268,-1.649863,0.60295826,-0.7210085,-1.6961474,0.33945942,-0.7995965,-0.87482643,0.4185949,0.4349481,-1.8685066,-0.5488926,-0.47168827,0.025891125,1.2715912,-1.1031002,-2.845861,1.6939318,0.58556783,0.57779765,0.24605174,-1.0233871,-0.13326025,-0.5471654,-0.37556246,-0.044804513,1.3275795,-0.56037337,-0.9219556,-0.44010884,1.6372962,0.53990066,-0.36018196,-0.78840333,1.3212564,-0.1398038,2.0594542,-0.46479142,1.5459819,0.6535589,-0.8779342,0.5474283
1.538661,-0.62626225,-0.19345462,-1.1760721,-0.894868,2.0108593,-1.2991927,0.36932957,0.6544558,-0.5005897,-0.05303523,0.96639174,1.0905544,-0.9871976,0.5283532,-0.9325249,0.024062648,-0.7772956,0.76000047,-1.740497,-0.4373176,0.73812294,1.1651975,-0.8701353,0.93956816,-0.28213483,-0.29040116,-0.41962573,0.62800056,0.35261178,-2.5588615,-0.07868192,-1.7201104,-0.6763946,0.37368304,-1.6544852,0.7069056,1.3955305,0.61524737,0.31020916,-0.5338573,2.0539985,0.58578306,-1.5343626,-0.8877167,-0.4465359,-0.35616076,0.15741915,-1.0087163,0.15057422,0.7725911,1.6165591,1.3033636,0.52744305,-1.6569891,-0.023191124,1.0234795,-0.74221206,0.19217885,-0.2810846,1.2734205,-0.030605838,-0.30113807,0.5376363,-1.0448809,-0.37506506,0.52063173,1.2882464,-0.65149903,0.29788268,1.3399379,-0.33508617,0.19083542,-0.7214948,0.734882,-0.7723349,0.9459021,-0.08354732,-0.31478667,0.8735703,-1.1810073,0.27052307,-0.47316852,0.48017353,0.94258296,0.071511395,-0.83282095,0.08927475,-1.7860852,1.0796188,1.8493242,0.18242374,1.0025494,0.4973193,0.87213576,-0.71437407,0.968217,-0.2582294,-0.33883232,0.42831558,-1.076549,0.49505153,1.0789049,-1.4392544,-0.9473981,0.78229564,1.0353603,-1.3009487,0.020609453,-0.23786077,-0.56141865,-0.6159495,0.7764392,-1.2029848,-1.1501377,-0.5023633,-0.14686412,0.12242174,0.52588075,0.716719,1.7622064,-0.22772208,-0.15167321,0.205883,0.35433617,-0.24245635,-1.8430926,0.43957958,-0.52210855,-1.0016066,0.8228187,0.37564445,-0.75934255,0.73894286,-0.17697763,-0.4197031,-1.143021,-0.38879848,-1.6610767,0.4390731
0.05045721,-0.46061015,-0.079175845,-0.57260716,1.1876901,0.8697963,-0.5478002,-0.2607905,0.16608751,-1.5409077,-1.7829448,-0.36996046,1.1487879,-1.2827489,-1.1137857,0.73945564,0.8646586,-2.0173845,-0.08688125,-0.048934996,-1.2077404,-0.60758567,2.0749788,0.94086194,1.5325829,0.7988199,0.311712,-0.21237424,-0.9029397,-0.18729506,-0.45086983,-0.3055868,0.80744195,-0.61932456,0.23833239,-1.3466426,0.97800756,-1.3230864,-2.006919,0.92945886,-0.47564518,-0.16762,0.16290809,-0.7215805,-0.09112853,-0.56804454,-1.321758,0.20618737,-2.3344924,-0.43310642,2.0948777,-0.9877114,-1.5494934,-0.30520746,0.5752522,1.481314,0.26703012,-0.41624823,-1.8583015,0.6534245,-1.1356514,-0.35607642,0.5405001,-1.1086895,-0.44267344,0.022788577,1.6659119,-0.7497398,0.7144894,-0.14449649,-0.34312814,0.40789503,0.110622816,-2.444831,-1.7734158,-0.22639015,-0.14115109,-0.84579754,0.27859414,-0.47632074,-2.2152896,0.99121463,-0.44712403,-1.4978145,1.4773047,0.35985297,-0.20949745,-1.131157,-3.3649082,0.6372069,2.5839734,1.4825673,-1.5322773,0.13804832,-1.7331468,-1.4265505,-0.22475973,-0.51725304,0.81863546,0.80235445,0.51231587,-1.1019282,0.84154415,-2.687927,-0.0023963451,-0.913924,0.6328485,-0.040992882,1.7105428,-0.610594,-0.14132483,-0.40045467,-0.25226843,-3.4881384,-0.28304923,-0.9015345,1.2317196,-0.9686669,0.9259362,0.008612677,-2.3275008,-0.55754435,1.0438931,-0.96675307,0.49874038,-2.5546098,-1.3791211,-0.24357945,-0.2633404,0.82169425,-0.3154361,-0.40760976,-2.356627,-0.6921971,-1.5299604,-0.78484046,0.68741775,-0.4567483,0.28641388,0.59252393
-0.55047625,0.47809452,-0.013092473,-0.5182208,0.5927565,0.22048128,-0.89598775,-1.7844319,0.70055413,-1.1851203,1.1718588,1.4807041,0.25553647,0.1767426,0.37184492,-1.1228396,-1.1224078,0.8451891,-0.06496039,-0.36816797,-0.10445452,0.32968947,-0.31688043,0.46655127,-0.5657607,0.55530447,0.12725854,-0.74594486,-0.7464318,-0.137584,-0.7128859,-0.42188138,1.3802707,-0.0693274,0.11090189,-0.964881,0.5065205,0.8086791,0.33968884,0.5912048,-0.8920604,1.014025,1.3640947,0.019439608,-0.28424227,0.31041616,0.023930192,0.36924276,-0.591761,0.23686785,1.1147721,0.15223148,-0.06761706,-0.6805133,0.17455095,-1.4618834,0.04426016,-0.3966117,-0.62718964,0.03125274,0.58238995,1.6954583,0.28544378,0.48314804,-0.7033634,-0.28991777,-1.3364007,1.9021695,-0.067457646,-1.1617085,0.26659563,-0.72507507,0.5244968,0.029062927,-0.88857687,-0.6310792,0.09067441,0.17941748,1.3472937,-0.41612452,-0.6940003,0.49558577,0.19675797,-0.41875488,0.18114749,-0.73360586,0.9268254,0.30205643,-0.70202506,0.31634825,1.4505644,-0.7956615,-0.12498969,-1.4813429,-0.51652765,0.08575112,0.909683,0.48939395,0.27796894,-0.20294514,-0.32245883,-0.69498503,0.12477562,-0.14944348,-0.008256793,-0.6904013,1.3936162,-0.0657928,0.3300991,-0.7408037,-0.30852628,0.5843359,1.4701148,-0.51622283,-0.4796121,-1.1814605,0.4622696,-0.713917,0.7292135,0.44593439,1.23521,-0.7465488,-0.75794655,-0.05530241,0.09180176,-0.7668518,-0.118340045,2.142782,0.73961115,-0.112870865,0.1938632,-0.31400308,-0.54696655,-0.1894193,0.11756405,-0.43321544,-0.7123842,-0.13795051,0.0067824125,-0.06490715
-1.817877,0.62343204,0.35498524,-1.341394,0.75911057,1.0445374,-1.2433931,-0.47903633,-0.8605972,-1.7645518,0.10229692,1.3206648,-0.6705433,-1.0975975,0.3263298,0.99006283,-1.4080471,1.4715378,0.7416296,-0.034726232,-0.9453305,0.029057384,1.0264431,0.7619833,0.5939178,1.0829327,0.24547124,0.81531954,-0.1384559,-1.2067982,-0.5793272,0.3141812,1.3028579,0.008880183,-0.4411679,-0.6387849,0.26918772,0.7793733,-0.767654,0.48205692,-0.3259382,0.15295705,1.0915067,-1.7182016,-0.61757267,-1.0866222,-0.7428286,-0.49407962,-1.6819286,-0.52004987,1.4815956,0.26018724,0.42712042,-1.2822542,-0.322267,-0.12096229,0.06848371,-0.21380058,-0.5557056,-0.21342018,-0.84626347,0.59174055,0.95890164,-0.51725197,-1.304051,-0.2775863,0.08485523,0.54586756,-0.81433165,-0.59491885,1.1385577,-0.6272251,-0.53591365,0.1560103,-0.8598017,-0.2081536,0.16771066,-0.39086178,-0.28134406,0.4912234,-1.8893278,1.8726903,-0.4092656,-1.4204502,1.7203412,-0.0742138,-0.016868353,0.46501386,-2.2464805,0.7823601,1.8213568,0.07484691,-0.42545366,-0.49504626,-1.0393248,-0.88426304,0.91681385,-0.03777963,-0.3381493,-0.4380806,-1.5957987,0.055321634,0.6777962,-1.798883,1.0411532,-0.79109746,1.489872,-0.47215596,0.52500075,-1.0087565,-0.7528569,-0.27581415,0.039229333,-1.5995069,0.08096808,-2.6139085,-0.61149067,-0.03785701,1.4379618,1.0347551,1.0657225,-1.3685493,-0.2648305,-0.022565424,0.8711787,-1.6264806,0.09985262,1.4743383,-0.7641559,-0.585057,0.46730512,-0.05998151,-1.3504263,0.8709558,-1.6450891,0.2250539,-0.2588511,0.101676,-0.4600098,0.7170281
