0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
-0.075967,0.11267808,-0.8215135,-0.6251707,0.58508396,0.9753754,-0.37541097,0.6604307,-1.1213584,1.128622,0.90319514,-0.7375445,0.5640947,1.2014991,0.05899462,2.1774492,-0.3366915,0.56564313,0.8164789,2.3442965,0.68589544,-0.36930296,-0.7000214,-1.1491976,-1.6080647,0.33805364,0.66145664,-0.47023004,-1.2535437,-0.8099931,-0.89138424,0.5213005,0.7919631,-1.7336957,0.14964691,0.64927185,-0.46861658,-1.5096586,-0.8066088,1.1392403,-0.23224837,0.08841556,0.46106791,0.6081164,-0.32486886,-0.0080180615,-0.15103325,0.98574424,0.94827574,0.53082025,1.6516802,1.4573166,-0.69928014,0.44925147,-0.701967,-0.43211162,0.13354447,-0.8739263,-0.4053294,0.02517508,1.0628107,0.16976303,-0.18378702,0.16657586,-0.9416513,1.122448,0.714834,-1.5968671,-0.22557098,0.6246016,0.24064565,-0.78080267,-0.1840887,-0.46329516,0.6829821,-1.1538701,-0.10883268,0.31201053,0.9229526,1.5996151,0.83256966,1.8543289,-1.0094703,0.06101215,0.9318004,0.15592968,0.07073063,0.4531011,-0.5365319,-1.0454736,-0.4888529,-0.18746811,-0.00890689,0.42236,-1.024932,0.37504917,-1.0999111,-0.52708364,0.2640537,-1.6766651,-1.1056204,0.67687404,1.4531416,-0.18771404,-0.1135917,0.6485132,-0.48067412,-0.47801003,0.52912056,-0.08931589,0.24174629,-0.30360037,0.025265425,-0.6094906,1.0390587,0.24008448,-0.16991681,-1.0897051,-0.86212444,-0.04498574,0.9222921,-0.64437604,0.5621807,1.5569636,-1.6277468
-1.4051588,-0.5571736,-0.2959295,-1.2805635,-0.030986622,1.9185976,-1.3826991,0.8370427,0.57043976,-0.3109903,-0.6525122,-1.045571,0.6288209,1.1832664,-0.18237062,2.4010572,-1.2429495,-0.48446807,0.2945016,0.26643303,0.99037653,1.1929862,-0.6120273,-0.5121175,0.3240743,0.3054816,0.3697307,0.2455805,-0.070064425,-0.69818664,0.7142862,0.6614325,0.37385815,-0.5193254,0.99072564,0.4852872,-0.37182936,-0.24086085,-1.9299018,-4.6160665,0.5613148,1.1265849,-1.5745149,-0.62789905,0.0102454275,-0.07292016,0.30545226,-1.5203809,0.118126154,0.7801836,1.1600432,2.3602285,0.45861042,0.029926915,-1.015784,-0.5113847,0.2674972,1.221076,0.21188053,0.68387353,1.0624819,0.42172563,-0.45088592,-1.2478664,1.0207357,1.7662388,-1.2905724,-2.4482417,-0.04896918,-1.3314171,-0.40261185,-0.6467033,-0.13020119,-0.7166667,-0.36399463,-0.6415595,0.27762273,0.09293181,-0.3597278,-0.15225136,1.7264957,0.118065,-0.4750914,-0.678884,-0.06277835,-0.5139066,0.38062543,-0.50082487,-0.3053897,-0.473181,0.036906354,1.6062601,-1.7625911,0.036207408,-0.96133065,0.94905007,-0.16742054,1.1191441,0.9232076,-2.051815,0.74342006,1.2230057,0.8504265,-0.89410096,-0.13861984,-0.824261,-0.5057598,-1.4278476,-0.088145494,-1.9021913,0.50015986,0.08858514,-0.37991437,-1.7538452,0.14589539,-0.18332279,-0.4142378,-1.3940665,0.32200995,0.4387086,-1.6742892,-0.51338744,0.17182484,1.2213656,-0.049004965
-0.5966773,1.8840536,-0.6648414,-0.44714135,-0.034929127,-0.45244166,-1.2297555,-0.070539504,-1.2371343,0.8879119,1.6413724,-1.481456,0.9773019,0.78542006,0.14071685,1.5256015,-0.86436987,-0.096676245,1.8771702,-0.395865,0.030257985,-0.7212434,-0.27341986,-0.6447618,-0.8214226,0.1405986,-0.51951706,-0.7433042,0.4438822,-0.16331391,-0.32357168,-0.47003707,1.2376746,-0.347863,-0.006483227,1.5409616,0.97134125,-0.90978515,-0.7067064,-2.5230417,0.10262619,0.45151,-0.15067965,0.9814013,0.07866174,0.47248268,-0.12562779,0.27648905,-0.78027105,-0.89310664,1.472753,-0.019102216,-0.2739155,1.3702887,-0.6162856,0.06181261,-1.0422652,0.6966897,-0.09637323,-0.75846446,1.9457762,-0.32741582,-1.4621711,-0.83395296,-0.49884516,0.5966326,0.25901037,-1.6022209,-1.1109188,-1.532655,-0.09221557,-0.88620776,0.9123755,-0.5148138,0.6646892,-0.5116288,0.074490145,-0.026572824,-0.28880012,1.1144209,-0.5200949,0.42297214,0.38557327,-0.19705859,1.2494612,0.8450985,-0.6379581,1.0183256,-0.41102192,-0.87640905,-1.1161367,-0.1983535,0.88515776,-0.53406966,-1.0257249,-0.31993893,-1.575097,-0.37438184,-0.1947121,-0.20254053,0.021984398,-0.06309256,2.074829,-1.0746987,-0.29714674,0.756825,-0.71266955,-0.12808175,-0.21154183,-1.9070355,-0.4478296,0.4182851,-0.99161464,-1.6807086,0.64676005,-0.32028696,-1.7587804,0.8166744,0.36828178,0.7255858,-0.6572968,-0.2644901,-1.0364066,1.7795813,-1.8474628
0.91789186,1.000904,-0.6405773,-0.35159227,-0.3028452,-0.7406255,0.24137571,0.25700018,0.16065979,0.27358586,1.3615265,-1.4142976,1.0070952,0.8286372,0.8335188,1.6557515,0.21872675,0.46926188,-0.43272194,1.7171233,0.5119346,1.6037109,-1.0738186,0.40790737,-1.3325155,-0.706075,-0.64921707,-0.0999884,-0.7974658,-1.0010653,-0.7536639,-0.19885162,0.95284206,-1.3107842,-0.40945724,0.2561261,1.2775877,-1.5076295,-1.1223235,-0.23980893,-0.6229425,0.13173914,-0.01065737,-0.45519194,1.1691633,1.2751334,-0.7184819,0.5572414,-0.26976272,0.0773671,0.21881038,2.0061266,1.6352148,0.99114436,-1.327318,-1.2823339,-0.79640996,0.79427296,-0.7372078,1.033729,-1.3207741,-0.5647113,-0.033007354,0.23834614,0.24728224,0.060827255,0.6528765,-1.1235051,-0.51822287,-1.2446877,0.113399506,-0.7815435,-0.1156688,-0.33426216,0.46375608,-1.6331116,-0.7994946,-0.5778282,-0.46274155,-0.1767365,-1.1501534,0.65745175,-0.5135463,-0.31565022,-0.38075954,0.47235382,0.021632731,-0.7533247,0.3597837,0.1469036,-0.7228656,-0.20576593,0.3483047,-0.38945702,-0.2675507,-0.17011715,-0.66939974,0.4514257,0.960716,-1.4965827,-0.07366192,0.024266422,1.5020602,-0.3637746,0.1057331,-0.33171925,0.29157895,-0.49640936,0.45645022,0.952093,-0.5435122,-0.6010928,-0.8375404,-1.2726324,0.09895891,0.8465724,-0.9796471,0.33395383,0.6439738,0.20294404,0.056348115,0.005797565,-0.08600986,1.6658145,-1.2382349
-0.4339282,0.67123294,-0.8279985,-0.9868111,-0.73634946,2.610356,-0.31309026,-0.573205,-0.3598286,1.6448683,-0.9442729,-1.5456119,-1.3460091,1.2032262,-0.009128958,0.46565187,-0.8158953,-0.48960653,0.5205003,0.5832964,-0.7863391,0.51720434,0.17562857,-0.81929815,0.60695493,-1.7378706,-0.14711514,-0.23252481,0.34661266,0.3636695,-2.276143,0.13848314,-0.73325634,-2.0744762,0.0539459,1.4339268,1.6944747,-0.21465123,-0.81513906,0.18434629,0.93676543,-1.0744673,-0.65008676,0.013120666,-0.16792142,0.15975742,0.5304992,0.17088161,-0.33720422,-0.21151054,0.6357466,1.9624172,-1.1866914,-0.45925713,-0.5029462,0.74185836,0.3483709,0.59257865,0.17163512,0.29997256,0.79374045,-1.2560257,-0.60930216,0.4804194,0.4656573,0.007466495,0.540504,-0.7049694,0.047481716,-0.46790966,-0.4642547,0.29386264,-0.61661416,-0.37664518,-0.093332976,-1.0635061,-0.13576624,1.5617881,-0.37518317,1.2184167,2.2014081,1.9606245,0.16569886,-0.6695978,0.8487288,0.5898018,1.330219,-0.34981936,-0.67527163,-1.128971,-0.8110662,-2.4015455,-0.5261728,0.12655708,-1.6063983,-1.3891609,0.056405485,0.2413115,2.661888,-0.33065706,0.8802333,1.1115055,0.08243218,0.068189904,-0.59652734,-0.5571759,-0.63114613,0.58379245,0.3044895,2.0360727,-0.7646971,0.7106616,-1.016438,-0.99775624,0.6464412,-1.2721332,-0.052637838,0.23367794,0.43974572,0.81039447,0.9256983,-0.71483546,-0.11917055,0.26590782,0.5874429
0.9959513,-0.807793,-2.376108,-1.1797159,0.3902435,-2.100945,-1.9626282,-0.7656429,0.37429076,-0.6088885,0.28861722,-4.480634,-0.39787298,-0.35034186,-0.2883798,-0.0065081716,-1.6017888,-1.4453897,-0.22487405,0.68313885,-0.46005952,2.2171605,-1.941485,-0.63628936,-1.6942887,-0.069021314,-1.8471279,-0.6913821,0.28592578,-0.26111287,-1.2582786,-0.97814584,1.103081,-1.3425822,-0.4068602,-1.1262207,-1.9911336,-0.73840165,-0.29847074,-2.5444794,-0.72557163,1.1372534,-0.8742851,-0.09835702,2.158938,-1.3066338,-0.7436272,-0.8635291,-0.7534326,-1.4092667,-0.011934459,1.2872543,1.3712481,-2.054772,-1.3285809,0.6334115,-1.9851985,1.3140943,1.6301332,-2.2468212,-1.3732755,0.65860176,0.88720334,-1.1393418,-0.20994473,-0.06611472,-0.59996784,0.8223367,2.184845,-0.7776446,-0.43137538,-0.0686274,-0.06007117,-0.7622843,0.9022337,-2.0081873,-1.1033353,-2.287141,-2.2887454,-0.8045056,-2.8659647,-1.3990574,-0.46957535,-1.2035114,-0.47066933,-1.0114279,-0.10865271,-2.3899908,-1.3012258,-0.18022723,-0.90160155,0.70910907,2.7296185,0.64089787,0.93651587,0.022939138,-1.6813608,-1.8511246,0.39501548,-1.3843967,-0.29909045,-0.28174344,1.4212706,0.012022778,-1.1190032,0.5305032,-0.93929076,-0.7862228,1.407049,-1.4661264,-1.0134254,-0.44233036,-2.2991815,-0.8999865,-0.3940552,0.11226176,-0.41711047,-2.930379,2.0077116,1.7223415,1.5859798,-1.0721639,-1.0158092,1.4616586,-1.1839807
0.035166025,0.0903804,0.41344225,0.069574594,-1.2788769,1.2373114,-0.14998105,-0.50712764,0.7491435,0.19610012,-1.155623,-0.32722083,0.927212,0.7789552,0.16150677,0.7981495,0.14500713,-0.4187563,1.5958345,-1.0627346,0.02529195,-0.24254957,-0.29020226,-0.52449906,-0.67031515,-0.521791,-0.026278883,0.87567884,1.0208654,0.009121358,0.13436997,0.7668962,-0.008674887,-0.07212198,0.93024576,0.2517405,0.7248677,0.5971969,0.008141398,1.2101611,0.25896278,0.39722627,-0.7458551,0.52998126,-0.1610976,1.015909,0.69444543,-0.56732,-1.5920315,0.9899016,1.2717755,0.95556545,-0.4122775,0.3171968,1.0507352,-0.120229304,-0.87660027,0.6580369,-0.5936356,-0.13701628,0.7386458,0.6583101,-0.4885731,-0.51250166,0.94901705,1.4556088,0.3820098,0.43288612,0.89524937,-0.51984215,-0.45679316,-0.49230906,-0.72218025,-0.6461392,0.10668635,-0.4358216,0.30281386,1.022009,-0.6961916,-0.13530242,-0.08246387,0.59134555,-0.4514506,-0.87150526,1.6429055,0.7410842,0.7446195,-0.022749871,-0.22579476,-0.2452613,0.16143125,0.24527615,-0.6057504,0.83887506,-0.32895523,-0.027965229,0.33605438,1.3172424,-0.075217664,-0.5882254,0.31155658,0.5703451,0.66225624,-0.23357323,-1.1756899,0.70666534,-0.3667474,-0.2552414,-0.19649303,-1.0079553,0.15066595,0.51866406,-0.5639041,-0.47191232,0.3540141,-0.918334,-0.36412793,-0.052757792,-0.65003175,-0.06985682,-1.0791538,-0.5787791,-0.41498873,0.9681411,-0.10248379
0.8556005,0.40716788,-0.73118305,-1.038187,0.14178655,0.18779922,0.431545,1.9293134,-0.9498546,0.6417906,0.0695937,-2.5308726,-0.3304156,0.6540865,-1.6102483,3.4723074,-1.5347915,0.24008767,-0.040277272,1.2603055,0.116552025,1.2233785,-0.3105361,-1.0485264,-1.5052415,-1.1142056,0.370032,0.07411766,0.17808208,-1.0433735,-1.8463656,1.101028,0.3389584,-0.5486534,0.046249107,0.711946,1.3685994,-1.2137399,-0.5662297,-2.4563622,-0.64879835,1.4735556,-1.1388171,0.577532,0.023416221,-0.12569349,0.026380062,0.9134478,0.37375146,-0.6016782,0.7312991,0.5566578,-1.738166,1.3163409,-1.4845157,-0.43877828,0.20804256,-0.46639735,-0.6167283,0.860253,1.476979,0.34702337,1.2592927,-0.2861578,-1.4754782,0.12120232,0.6692836,-1.3118393,0.6445404,-0.22669917,0.35786134,-0.5767689,-0.027772307,-1.0155022,0.38135248,-0.97094357,-0.28163204,-0.50393504,1.1052907,0.6572741,1.5370272,1.5065404,0.007862411,-1.8070911,-0.21964914,0.17344436,0.14967972,-0.2825636,-0.40669158,-1.3488702,-0.84189504,-0.726374,0.1937238,0.833362,-1.3183377,-0.10301606,-1.6004504,-0.16040292,1.3911762,-0.3772189,-0.24541062,1.8795905,-0.20118284,-0.48198313,-1.2429557,0.15865898,-0.5337126,-0.044197023,-1.9324715,0.2284269,-0.40617543,0.37792945,0.2450366,-1.2005424,0.54048115,-1.9804599,-0.36389974,0.23598067,1.1151854,0.69692826,0.7321702,0.33802247,1.0066764,0.45150578,-0.34746197
-0.1675992,1.1390742,0.11318314,-0.93418205,0.460817,1.0607896,-2.8963969,0.4661841,0.6948314,-0.92195404,-0.028413951,-0.79988176,0.5922395,-0.41512394,0.58474207,2.5534253,0.6452525,1.8273131,-0.2567207,0.4825155,0.1459883,-1.2775605,0.16766962,-0.105382815,-0.5329529,-0.8089481,0.5267727,1.6956265,-0.07870501,-1.1577015,0.4396902,0.3844862,-0.42148092,0.15938538,-0.42627743,-0.0890944,1.1137724,-0.71509075,0.8874103,-1.8383126,-1.0002164,-1.3457329,-0.15729633,-0.90699446,-1.3714461,-0.5922601,-0.07463166,-0.29011136,-0.38048774,0.7389953,1.2507529,0.73039347,-1.2048775,0.27224076,-0.7289085,-1.0217063,0.24933639,0.5309484,-0.5296857,0.31444165,1.1927555,-0.5446031,-1.6325749,-1.5380332,0.97281474,0.952402,-2.1133363,1.2351182,1.7262417,-1.4283084,-1.6034565,-1.1975033,-1.4217206,-1.317213,-0.80566645,-0.3843169,1.1691743,1.0449977,0.88539785,0.42777827,0.6804635,1.4842541,-0.8238177,-0.6829815,0.77958107,0.014253795,-0.4985332,-0.47905976,-0.39165986,0.20311275,0.3786379,0.85759556,0.74481916,0.87712693,-0.46514988,-0.37580493,-0.54290843,-0.17269275,-0.84569347,-0.9872273,0.2692036,0.12449542,0.76601577,-0.85026395,0.026971132,-0.8212224,0.33167788,-1.4231361,0.8632199,-0.29269698,0.010591418,-0.52646935,-0.20962344,-0.7250745,1.1442266,0.4879964,1.0236877,0.5785885,-0.66893154,-0.003990829,-1.6298599,0.27379215,0.9279214,0.47754443,-0.8906891
-0.70409906,0.6280246,-0.2504442,0.35677803,-0.9538475,1.4867423,-0.18315119,0.7715105,-0.6293134,-0.08238116,-0.87841874,-0.15091866,0.19758901,-0.42642963,0.27607226,1.2595369,-0.36639,0.58278424,0.705293,0.022031605,0.4435436,1.6398982,-1.8276654,-0.37296635,-0.29264694,-1.202727,1.0557618,1.2261307,0.4212428,-0.3197141,0.3589411,0.25176424,-0.22394636,0.5372252,0.4837678,-0.18701786,-0.2163361,1.3961859,0.69051695,0.83036476,0.15343246,0.024028808,-0.31604767,0.62477803,-0.66616213,0.51260734,-0.041473478,-2.4263558,-0.6876689,0.44852772,-0.26882952,0.5671407,1.1854745,-0.8318311,0.5517987,-1.1125083,-0.25149977,-0.2100837,-0.371362,1.0639839,1.4336269,0.059446037,1.1528811,-0.12995952,1.8509037,1.344916,0.44476175,-2.0269356,-1.0528243,-1.0055063,-0.16469139,-1.4510713,-1.357276,-0.22862424,-0.012571171,0.23480311,-0.3977811,0.22141296,-0.5807371,0.9665241,0.6346611,-0.020918787,1.3425124,-0.597599,1.2382938,0.08156431,0.08204952,-0.42425835,-0.04060048,0.93954813,-1.1250411,-0.37284917,-0.21825019,-0.28232983,-0.5345165,0.17748722,0.5205912,1.2426236,-0.2294519,-0.50483054,0.20665222,0.9123323,0.6779027,-0.17466034,0.52764386,-0.45911303,-0.10479198,0.003817685,-0.024076283,-2.6622703,0.09205468,0.71628064,-0.8834613,-0.5951384,-0.525994,0.73175937,-0.24057865,-0.06999652,1.663332,0.2834434,-1.3253586,-0.8469292,0.96078515,1.7977521,-1.3146952
