0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274
-0.5230124,0.87127805,-1.7623682,-2.1150613,-0.64559466,-0.784539,-1.6937237,-0.8398116,0.4413401,0.44462147,-0.13030484,-0.3970441,-0.99433154,-0.29401848,-0.68296266,-1.3036153,0.43092147,0.17810237,1.140727,0.66206396,-0.18995789,-0.32054567,0.43575376,-1.5185088,-0.07611928,-1.1599826,-0.99961686,-2.1062558,0.16426912,0.21146676,-0.46807617,-0.4133442,-0.346766,-0.5119364,-0.6163155,0.587104,-0.25368288,-0.5754176,0.11966073,-0.2746275,-0.03096912,0.553818,0.29186943,0.21299924,-0.22725989,-0.5735169,0.44282585,-0.0047271196,-0.86329347,-1.4063066,-0.7389431,0.4515495,-0.6273459,-1.7920752,0.5054762,-0.464093,-0.3085022,-2.0590384,-0.07435497,-1.4148949,-0.36398643,-1.7480519,0.06819945,-0.1585292,-0.63293856,-0.88980126,-0.58811975,-1.1537614,-1.5264791,-0.09294362,-0.117383994,-0.27322084,-0.40562633,-0.5584815,-0.5332129,-1.5105834,-0.4241788,-0.26901895,-0.62124634,-1.4379634,-1.9471836,-1.4424276,-1.1307448,-0.42609584,0.00085899513,0.20351386,0.6030545,0.27192637,-0.38076165,-0.20122352,-0.45888764,0.27965173,0.14829902,-0.39621064,-0.98974717,-0.18262564,-0.045999795,-1.9833795,-0.10778145,-1.2653246,1.0315225,-0.7805899,0.10450178,0.9370904,0.18531296,-0.49798906,0.6838387,-0.9994016,-0.005691923,-0.71522564,-0.21492675,-0.88800585,-0.55342716,-0.16511759,0.06074791,0.4938616,-1.1173483,-0.2907888,-1.6169556,0.4962354,0.07791521,-0.6334759,-1.2119839,0.042268183,0.0149129,-0.25544113,1.1771698,-0.338991,-0.7335758,-0.79643977,-0.11213036,-0.03271216,0.08151795,0.6393519,-2.635421,-0.57628804,-0.26247504,-0.59643847,-0.33103964,0.47107825,-0.14425698,0.12268552,-0.34001702,-1.4259148,-0.46323544,-0.884476,-1.1788963,0.53849167,0.4106651,-0.41272986,-1.7737677,-0.046903487,-0.24174397,-0.8077683,-1.8539951,-0.5766516,-0.51373,-0.09599185,-0.48646116,-1.0657796,0.10809168,-0.7344238,-1.2418386,-0.91564065,-1.8192815,-2.4486372,-0.5027827,0.04322998,-0.2791654,-1.0763669,-1.34014,-0.41504362,0.18075135,-0.36556336,0.17984171,-1.3652725,0.48992902,-1.7686683,0.17442739,-0.10536595,0.7239946,-0.45027053,-1.3173865,-0.9506204,0.114097,0.57638,0.12521198,-0.45455703,-1.042346,-0.724745,-0.20564102,-0.71730244,-0.2390872,0.03148187,0.24038282,-0.1576807,0.9839921,4.9825758e-05,-0.6375569,-0.00459682,-0.3466749,-1.0648955,-0.60479444,0.24132583,-0.80671227,-0.848323,0.01805609,-0.38515705,-1.3948371,-1.2542697,0.34742558,-2.1038043,-0.33139443,-1.5138192,1.4113579,0.13278362,0.46504697,0.171815,0.49737728,-1.6057192,-0.88154715,-0.5480897,-1.2507112,-0.42393434,-0.8455225,-0.5061985,-1.3523626,0.06841707,0.6699579,1.0837442,0.6409784,0.52757096,-1.1832709,-0.18001643,0.34938893,-0.66036963,0.4497618,-0.49531618,0.1601905,-1.194625,-0.58755475,-0.17319475,-0.91547674,1.4633682,-0.32513866,-0.18863876,-0.3016439,0.44821757,-0.33052737,-0.17290507,-0.13624252,-0.3643656,0.2101283,-2.603316,-0.26749325,-0.71657944,0.74430436,-0.23370726,-0.41647717,0.43678993,-1.021065,-0.90051407,0.46979663,-0.9010257,0.54226714,0.4035548,0.36738408,1.151833,-0.4924201,0.61474144,-0.5968021,-0.030100778,-0.12833303,-0.24016051,-0.09833551
-0.21977171,1.0283977,-2.135892,-2.695077,-0.34703547,-0.48706442,-2.4001613,-0.26338336,0.0082045365,0.24797553,-0.09935384,-0.4544943,-0.91582125,-0.6243416,-0.9086762,-1.54193,0.9247845,-0.059589088,0.28540984,1.0301278,-0.2322951,0.9505097,0.8608361,-1.5731179,0.5422561,-1.4373573,-1.501712,-3.0505588,0.93854207,-0.65600884,0.8185442,-0.6047923,-0.34017843,-0.021007549,-0.26255724,0.525971,-0.1647548,-0.48752436,-0.35595065,-0.67942476,0.31747288,0.023570828,0.53240997,1.3394575,-0.022044566,-0.27524155,1.6389891,0.5180209,-1.876575,-1.6545388,-1.0867068,0.74756616,-0.7648027,-2.696553,0.048826054,-1.1703346,-0.8070743,-2.3169835,0.663099,-1.7494384,-0.2790634,-2.615518,-0.4261053,0.04074733,-0.5793073,-1.3309118,0.5300386,-1.5562688,-1.6548073,0.82458085,0.013938077,-0.3736379,-0.35871738,-0.19365257,-0.7200109,-1.5027039,-0.9898936,0.5259993,-0.887382,-1.9432392,-2.3016312,-2.1556356,-0.76935303,-0.26661524,0.030152876,-0.17267129,0.6602372,-0.2655429,-0.5351568,-1.3162049,-0.3751976,0.75391823,-0.14308754,-0.2675418,-1.6398425,-0.8420753,-0.7233682,-2.7221222,-0.061639264,-1.2854141,1.3450239,-0.8326202,-0.708363,1.2781191,0.44023296,-1.0534706,1.0872397,0.78996015,0.47669503,-0.4399981,0.025282051,-1.4230216,-0.97255725,0.7583363,0.13509215,0.22001086,-0.735327,-0.5130224,-2.25223,-0.19251622,-0.5553355,-0.90239865,-1.2607393,0.477633,-0.25406486,-0.65652865,1.8537989,0.78818667,-0.89600486,-1.2743498,0.4157927,-0.3574079,0.93230796,1.1573448,-3.7869792,-1.0482048,-0.06631571,-0.2644733,-0.6203739,0.98832166,0.6104146,0.92642164,-0.54724467,-2.0398397,-0.8066103,-0.6143327,-1.6278144,1.1674744,1.0489777,-0.31333554,-2.1769383,0.8309641,-0.26571825,-0.44383052,-2.3673632,-0.8678651,-0.5805759,-0.06467904,0.42083287,-1.2185808,-0.43570462,-0.9136416,-1.0359441,-1.1669654,-2.2327688,-3.017664,-0.26874465,-0.33489615,-0.008922616,-1.8303684,-1.636279,-1.5522351,-0.19108644,0.541451,-0.044420537,-2.1904032,-0.41196412,-2.663801,0.5067397,-0.8608612,1.1496568,-0.9582732,-0.47936082,-0.5399466,-0.36183456,1.5051463,-0.21280554,0.8791984,-1.4231546,-0.86072356,0.5498876,-1.059432,-0.6856634,0.6862251,0.529433,-0.5471779,0.5276212,0.79461145,0.640173,1.2940172,0.65221184,-1.3912333,-1.0117024,-0.24636972,-0.21460003,-0.8876716,-0.16232061,-0.40858316,-1.4862926,-1.245461,0.5327025,-3.4040692,-0.7367236,-2.2404974,1.2317048,0.9685639,-0.23489156,0.584742,-0.3188882,-1.3728323,-1.3315306,-0.60319066,-1.5156642,-0.7190517,-0.6963212,-1.3367084,-1.9432148,-0.42973575,1.2199886,1.4270989,1.063713,-0.33026448,-1.8892432,-0.95218784,-0.26561058,-0.20465818,0.14320832,-0.78483266,0.062363304,-1.0105175,-0.36818787,0.15805955,-1.2746279,1.4534973,-0.38087428,0.52060753,0.7954541,1.1500636,-0.37586474,-0.106213324,-0.2692901,-1.3171791,0.6834494,-3.458377,-0.96048516,-0.36388725,1.1911026,0.69976115,-0.79569465,0.002889568,-1.2039217,-1.4370327,0.51662433,-0.38229853,-0.16348755,-0.21502112,0.4974388,1.6514643,-0.52773505,1.2171525,-0.33149427,-0.46006024,-0.7338922,0.4974469,0.56914383
-0.44590667,0.15218937,0.27913114,0.3697823,-1.8893411,-0.8214618,-1.5665545,-1.9767709,1.591864,0.29893404,-0.97878164,-2.4651668,-0.62903845,0.17418848,-0.09183186,0.018887173,-1.0038878,0.47285435,0.7818363,0.4311143,-1.1951723,-2.180027,0.6224498,-1.5027668,-1.250486,-0.79097307,-0.082192294,0.40048197,-2.6716049,3.465047,-0.75606215,-1.333119,-0.45288876,-3.6570282,-1.434628,0.2848827,0.31566295,0.51888263,0.5826204,0.9505429,-1.6665637,1.7073146,-1.8014922,-2.104856,0.4773738,-0.9457195,0.7281605,-1.6027467,-0.24184287,1.0341471,0.2049179,0.94464606,-1.4668378,-0.55909854,0.25733966,0.55286163,1.4043034,0.20933731,-1.4881347,0.27468655,-0.0899483,0.39189368,0.35901862,0.534116,-0.51670444,-1.1812453,-2.039405,0.33000723,0.2209958,0.0989562,0.48064405,0.3597231,-1.2565131,-0.56026375,1.2510034,0.45540172,-0.3402641,-2.0362306,-0.8624221,-0.36739546,0.5686665,0.27653015,-0.5677555,-1.8059028,-0.78627014,2.2176683,0.934661,2.2735696,1.5035851,1.990285,-0.07542017,-0.033895325,-0.0769529,-1.9570825,-0.90851223,-0.75875163,2.4593236,1.0517722,0.16656798,-0.7445197,1.1970487,-0.6628217,0.84911,0.51847005,1.4179567,-0.46620643,-0.20471105,-2.0226238,-0.8179146,-1.9507773,0.68911433,0.68131226,-0.65932935,-1.6018329,0.9548178,0.46094957,0.81862676,-0.09529378,0.20915005,1.2311352,-0.02203507,-0.29005635,-0.2895934,0.40575868,0.9424497,1.5638044,-0.12760726,-0.020528419,-1.5461196,-0.568184,0.13321541,2.160021,-2.2709312,-1.1811723,0.50574166,0.95252925,0.26122162,-1.40826,-0.572819,-1.9568465,-1.4113225,-2.1659322,-0.32242948,0.15706566,-1.3255683,-0.46094608,-1.6796175,-1.51278,-1.7225722,-0.7765337,0.29207978,-2.1763906,-1.8002774,-0.7359825,-0.4013578,0.6297204,-1.1216717,-0.5282132,-0.43979922,-0.310416,1.9137951,-1.9145933,-2.6232,-0.80272174,-1.0935595,0.37328225,0.45747936,2.212302,0.9447583,-0.93685794,-0.12098184,0.61317897,0.7604237,-1.2046666,-0.04791063,0.75940186,1.977359,0.65983766,-0.13709359,1.5925877,0.34148562,1.872866,-3.3720284,-2.1730204,0.8154009,-2.4504335,-0.51530135,-1.7021136,0.73065233,0.048103373,-2.2476287,-0.75967795,0.62870866,-1.0913388,-0.92648196,1.2127979,0.3860844,-2.2269206,-3.123274,-0.067241505,-2.8258681,0.36326614,-0.74322337,0.2559689,-2.6007125,-1.7695016,0.07455163,1.0819528,0.4100342,-1.673187,-0.74083215,1.1006416,-0.09458425,-0.63034254,0.958261,-1.9981939,1.3373169,-0.99164516,0.062623665,0.43441603,-0.44328249,-0.25107506,-0.13166198,1.8793424,-0.56543416,2.3570068,0.29569352,0.3486125,0.63210183,-0.6108812,0.24734806,1.676297,0.6748478,1.7982022,2.67593,-1.9894129,1.3375804,-0.85717857,0.9510845,-1.5827304,-1.5033231,-0.07625631,0.03892249,1.3663741,-0.16470891,-0.24481818,-1.0675443,-2.0139818,-0.4133372,-0.40730855,-0.18402429,2.9376254,0.20326465,-0.10916416,-0.0054929415,0.005608588,1.3156321,-0.7913644,-0.6660421,0.23514064,0.43634608,0.108174,0.23515949,-2.0806797,0.57220495,0.46782643,-1.4170046,0.13448521,-1.5329218,-1.9140444,-2.9763503,0.37601122,1.2315774,-0.7967541,-1.0759205
-0.70000285,0.6191408,1.0868083,1.1137638,-1.8741758,-0.62364656,-1.86463,-2.4273825,-0.16690858,-0.05109722,-1.5118306,-2.5054734,-0.46499756,0.7056792,-0.058632154,0.57696414,-1.4581062,1.4722466,0.29489312,0.3994013,-1.9621089,-2.5880368,0.7554993,-1.0623966,-1.1472338,-0.7455868,0.005585298,0.5833856,-3.473472,3.8883321,-0.9750843,-1.3177435,-0.026438002,-3.8939886,-2.1586218,-0.2612066,0.03954482,0.39094844,0.34229112,1.504567,-2.1849973,1.1091697,-2.3819997,-2.8027527,-0.02021603,-1.8660305,0.17672081,-1.2611117,0.05339451,0.7322439,0.93143284,-0.552422,-1.212788,0.22603165,0.35876343,1.0942311,0.34658343,1.1652917,-2.0805664,0.52598786,-0.07547724,0.37152895,0.66901106,1.154391,-0.1590187,-1.3966359,-2.5237641,0.4409479,0.6256008,0.2860819,1.8126527,0.11381279,-0.5420021,-0.57102054,1.2803036,0.8996506,-0.16709507,-3.107364,-0.062422343,-0.15907826,0.71548694,0.9400535,-0.21345651,-1.7902998,-1.0449175,2.3943634,0.46737847,2.8703911,1.9422746,2.1169286,-0.23685174,-0.5211936,0.92223066,-2.2461665,-0.111672126,-1.1060148,3.2306087,0.95236105,0.5039611,-0.13035534,1.0133897,-0.12043781,1.6986094,0.79845,0.7481581,0.5189868,0.0047201286,-2.6295524,-2.2204604,-2.2634468,0.544216,0.9933707,-0.7109541,-1.6825356,0.89516234,0.2816944,0.95214736,-0.5626264,0.5324145,1.4244854,0.7000257,-0.39063308,-0.43055278,-0.11885363,0.019074526,1.8206621,-0.43579048,-0.27629185,-2.453541,-0.3126994,0.3444927,1.9214132,-2.5701792,-1.9850175,0.75354105,0.36644763,0.6185511,-2.0681791,-0.92262435,-2.5673149,-1.6510593,-2.611203,-0.2034916,0.24338919,-1.9523376,-0.4235877,-1.2149793,-1.8288736,-1.4731256,-0.35755092,0.6968273,-2.2505772,-1.8891742,-1.6314143,-0.5558971,0.42135707,-0.59601504,-0.7413114,-0.41308904,-0.71711093,2.5534809,-1.699435,-2.4857512,-0.29292777,-0.7963135,1.5370493,0.17640488,2.2577922,1.0323827,-1.0216875,1.042385,0.43714178,0.56695557,-1.6926665,0.38021204,0.42167464,1.7357904,1.4366786,0.2412056,2.58471,0.16566922,2.30106,-3.5036936,-2.3894496,0.2995823,-3.0998056,-0.7102513,-2.5723593,0.8031428,0.40152803,-2.660179,-0.9624799,0.9614325,-1.2010349,-1.1489098,1.67433,1.0354582,-2.7581518,-3.1749003,-0.5860283,-3.289753,0.7678138,-0.8498506,-0.33319655,-3.038632,-1.2839926,-0.2888299,-0.008277752,0.5008004,-1.8425822,-0.7845496,1.0268089,0.6757562,0.5209022,-0.1855386,-2.2913444,0.20900573,-1.4330063,1.10704,-0.1635412,-0.12981798,-0.40637323,0.5581462,2.091483,-0.67231447,2.2996697,0.8183877,1.425789,0.273142,-1.4609953,0.21636483,0.85591936,0.680066,2.293273,2.6060607,-1.9393741,0.63449866,-0.9803651,1.0124642,-1.4481328,-1.4556134,-0.1895922,-0.04422015,0.85400295,-0.08276349,-0.42495593,-1.4250387,-3.3437965,1.0190579,-1.0091841,0.61136055,3.7628024,0.45411488,1.283104,-0.15087141,-0.18978156,0.85140556,-1.4294095,-1.146292,0.7363545,0.45970783,0.91473085,0.17411382,-2.6070127,1.4864632,0.89326465,-1.3002777,-0.31036782,-1.9376042,-2.5381682,-2.2805257,0.43214536,1.256898,-1.1202089,-1.4309523
-0.48829252,0.5163957,-0.22819822,-0.08521372,-1.4446447,-0.6339857,-1.5808425,-1.7992247,0.44503778,0.24180913,-1.007112,-1.5948793,-0.8549286,0.027908359,-0.46702304,-0.09187029,-0.71935034,0.74938726,0.5339258,0.12059575,-1.0503007,-1.6643226,0.5945219,-1.3121947,-0.7655622,-0.82729334,-0.26876074,-0.35189834,-1.9237753,2.3612752,-0.7650621,-1.1863371,-0.091625154,-2.6561413,-1.637421,0.30266875,0.046383813,-0.32899556,0.074361116,0.7884899,-1.3172153,0.95767653,-1.2607926,-1.4336332,-0.049706157,-1.095398,0.15036598,-0.87969047,-0.27347723,-0.47874394,0.010093771,0.3658505,-0.88563085,-0.3789683,0.47242388,0.6079136,0.62004495,-0.35395622,-1.2757788,-0.25257188,-0.053009644,-0.12888,0.4702948,0.33291748,-0.11536001,-1.0023764,-1.7270689,0.054814514,0.045611072,0.34701017,0.7402526,0.34621736,-0.7406715,-0.48187077,0.69030076,-0.109377615,-0.29496086,-2.0013113,-0.18806852,-0.7478537,-0.22850418,0.08781409,-0.5950914,-1.1963052,-0.6692956,1.2710633,0.07497297,1.7304705,0.78710216,1.3302066,-0.1700691,-0.31419292,0.35142773,-1.1704369,-0.41024262,-0.5499758,2.0355763,0.07811256,0.24608564,-0.824681,0.7497139,-0.5678061,0.7345761,1.0939561,0.7438204,-0.05599968,0.39569002,-1.9117513,-0.8198248,-1.6953124,0.39858273,0.2480778,-0.44235948,-1.1630039,1.0121464,0.91609824,-0.3446805,-0.1401458,-0.35498,1.1694933,0.4628861,-0.30882692,-0.38575915,0.023262944,-0.2649218,1.0610621,0.21332681,-0.21488374,-1.4423573,-0.19102952,0.18375692,1.2077496,-1.6044953,-0.9650298,-0.083055854,0.15939304,0.5472758,-1.5104903,-0.5571881,-1.2468933,-1.0841365,-1.6089398,-0.16746998,-0.19303015,-1.1543304,-0.50354075,-1.1320226,-0.84895825,-1.042927,-0.5739871,-0.34034255,-1.8064688,-1.306689,-1.2494,-0.83558387,0.15010291,-0.76101667,-0.42086387,-0.40420032,-0.4666035,1.4468368,-1.4214189,-1.9088813,-0.6100771,-1.3519009,-0.058539994,-0.23250678,1.7018654,0.6332689,-0.652816,-0.13034448,0.36756214,0.28203636,-1.035577,0.26091415,0.025425252,1.6863542,0.68832576,0.3157685,1.3483727,0.08086955,1.1684552,-2.565236,-2.092048,0.022798184,-1.6742802,-0.054115698,-1.8178343,-0.05078242,-0.093027115,-1.6981583,-0.86348075,0.7314728,-0.54645973,-0.69163936,0.7671207,0.7272554,-1.577489,-2.4238338,-0.37599868,-2.158434,0.22827482,-0.4813681,0.48716938,-2.2874615,-1.0831823,-0.4050677,-0.13806285,-0.2705925,-1.2939461,-0.045473594,0.2568609,-0.1532835,-0.3685533,0.5324929,-1.550561,0.80664456,-0.712647,0.5271916,-0.43383035,-0.5108299,-0.35742155,0.023129806,0.89974904,-0.37965548,1.3954594,-0.058998827,0.70533985,0.34265426,-0.32106268,0.19964851,0.5733184,0.31181508,1.3897064,1.7365745,-1.4621061,0.8381868,-0.43363717,0.65777826,-1.2838029,-1.1189172,-0.14130819,-0.2603374,1.2843974,-0.35514006,-0.13793083,-1.0635818,-1.6662613,-0.2650395,-0.73380625,0.22012894,2.0436354,0.8277841,-0.1578191,-0.13916114,0.016792823,0.8611692,-0.82305944,-0.6384238,0.19490418,-0.1005387,0.071677424,0.23782377,-1.984538,1.511111,0.7836072,-0.7112954,0.59949964,-1.4037864,-1.397267,-1.5023667,0.09045412,0.45385844,-0.86375105,-0.5343517
-0.24038315,0.79416597,-2.170638,-2.5860708,-0.35572377,-0.60489345,-1.9826013,-0.31112444,0.24715246,0.33789566,0.013296716,-0.30589673,-1.0570985,-0.63752675,-0.89953834,-1.6278243,0.86699677,-0.02307789,0.33304766,0.63017184,-0.026860207,0.381557,0.6844722,-1.5794713,0.249368,-1.1674502,-1.3949195,-2.8739917,0.8855004,-0.6327738,0.18825072,-0.46045402,-0.23863854,-0.08327356,-0.37236294,0.37706855,-0.06465304,-0.7374804,-0.34854308,-0.70703477,0.23188022,0.1797194,0.78223985,1.2175645,-0.19802932,-0.25960898,0.87502736,0.36508316,-1.5865244,-1.6212577,-1.1564921,0.58995634,-0.49538302,-2.3818364,0.07937738,-1.0282935,-0.6548703,-2.3538325,0.60666054,-1.6558162,-0.29166648,-2.2420237,-0.13027212,-0.016030954,-0.5236734,-1.0139906,0.10852985,-1.514187,-1.7078279,0.60658664,-0.21561266,-0.18850036,-0.39141285,-0.21995486,-0.8008401,-1.6265428,-0.82225746,0.4058772,-0.80476505,-1.8987441,-2.3924673,-1.9598601,-0.91662204,-0.23570228,0.010999325,-0.2815121,0.37162033,-0.29421344,-0.78437775,-1.1802444,-0.32409465,0.48428485,-0.22625676,-0.21658517,-1.3487134,-0.68464243,-0.6666358,-2.6589248,-0.07354699,-1.2952467,1.0295434,-0.9200131,-0.7097608,1.237079,0.33767915,-0.8829366,1.1008109,0.14844753,0.49406567,-0.31005728,0.2156046,-1.2411318,-0.6946327,0.51244026,0.26495007,0.2780253,-1.0709952,-0.36280626,-2.0166023,-0.045613367,-0.111559145,-0.75954664,-1.3578107,0.19340518,-0.26070058,-0.76872075,1.6459955,0.09261251,-0.6316154,-0.9787828,0.41407067,-0.31137654,0.7926469,1.0718234,-3.49041,-0.7687282,-0.16409567,-0.1684476,-0.47645122,1.0781293,0.47809795,0.73376995,-0.39754853,-1.8368526,-0.70404726,-0.72597826,-1.3852072,1.1357336,0.8883019,-0.33418983,-2.220258,0.5232478,-0.24519388,-0.447453,-2.113713,-0.7894078,-0.55426234,-0.056823637,0.10260949,-1.2244105,-0.37332523,-0.7437788,-0.9549409,-0.9816304,-2.0602489,-3.1171126,-0.4184255,-0.41763464,-0.014665345,-1.503334,-1.6142967,-1.2411878,-0.14516553,0.22823036,-0.11386138,-1.9768052,-0.27330592,-2.28135,0.47339278,-0.8531364,0.9550708,-1.0447402,-0.43887034,-0.7120376,-0.55778843,1.3734022,-0.08007337,0.44303736,-1.4914876,-0.91376567,0.39350396,-0.9923149,-0.61932427,0.51032346,0.3743002,-0.80209315,0.6498807,0.58638924,0.2929873,0.71877825,0.5914305,-1.2213228,-0.7174788,-0.14846757,-0.28585446,-0.72747564,-0.101522446,-0.47705817,-1.5022058,-1.1994327,0.62559754,-3.1430068,-0.7644965,-1.956202,1.4119557,0.72109866,0.17306912,0.49570334,-0.21175231,-1.4722096,-1.2168663,-0.60060877,-1.3487751,-0.95344436,-0.6685997,-1.2991748,-1.7575806,-0.33030528,0.8478948,1.3670394,0.78248847,-0.06452086,-1.6664083,-0.7503067,-0.22604662,-0.23577604,0.30796432,-0.6549702,-0.08093598,-0.9489939,-0.30563727,0.16711144,-1.239483,1.3405305,-0.39990276,0.24502814,0.3305078,1.0714334,-0.3451329,-0.014855729,-0.49113604,-1.2337867,0.39042535,-3.2749472,-0.69360745,-0.68339944,1.0471195,0.30953103,-0.4192322,0.03590969,-1.2030014,-1.3655095,0.49730727,-0.3968451,-0.03186953,0.15213354,0.5299021,1.621508,-0.35574317,1.1338596,-0.20019531,-0.11805784,-0.47712916,0.2482623,0.46524024
-0.16897815,0.97295666,-2.2521272,-2.846087,-0.25355616,-0.45408094,-2.3965683,-0.19815914,0.06135921,0.10401084,-0.060493194,-0.31129107,-0.9014409,-0.62221646,-0.88181776,-1.6239712,1.0011232,-0.0823933,0.30176982,1.0304847,-0.24767548,1.0103878,0.7942144,-1.4811924,0.57518,-1.3376337,-1.5120456,-3.1261683,1.023037,-0.7774547,0.85485464,-0.5193194,-0.24033855,0.15211898,-0.17676269,0.6256373,-0.080255285,-0.40330204,-0.2601896,-0.70646906,0.4891546,-0.09520368,0.63294566,1.3455275,-0.097590104,-0.28481948,1.6573933,0.5559872,-1.7793965,-1.6898731,-1.0245758,0.62794864,-0.63544744,-2.6782265,0.022171082,-1.2335956,-0.917668,-2.3434858,0.73603606,-1.7808297,-0.29373044,-2.761761,-0.47422343,-0.11087078,-0.60757446,-1.2867948,0.5798131,-1.6387154,-1.8436277,0.70059305,-0.07902299,-0.46352893,-0.24371436,-0.1831186,-0.7686079,-1.5551009,-0.9522651,0.7697356,-0.95740837,-1.9108179,-2.3689177,-2.2252893,-0.806401,-0.21401721,0.049668077,-0.23773167,0.680939,-0.3588852,-0.56935126,-1.4140229,-0.38871735,0.72664404,-0.17318185,-0.16787115,-1.6598351,-0.8120834,-0.880518,-2.8810978,-0.1759764,-1.2641549,1.3104692,-0.813472,-0.72067165,1.1937,0.34976622,-1.0589201,1.0524634,0.78017867,0.5136625,-0.32993263,-0.07448861,-1.4716824,-0.9104528,0.78950167,0.115486935,0.077824645,-0.7423931,-0.57589275,-2.252329,-0.22083782,-0.54708636,-0.90164137,-1.3713322,0.4560083,-0.23034611,-0.72160876,1.8542359,0.738234,-0.7973616,-1.2403748,0.45583054,-0.44842196,1.0006025,1.2383605,-3.8798308,-1.016454,-0.09214212,-0.16327858,-0.55671686,1.010184,0.6471698,1.0560557,-0.49663204,-2.070254,-0.7969075,-0.6703922,-1.6327305,1.2238696,1.1010387,-0.2152795,-2.1828597,0.89802974,-0.16222711,-0.31912225,-2.364394,-0.8374635,-0.47651604,-0.069503635,0.3768099,-1.2489811,-0.546113,-0.7461167,-0.96207726,-1.1753637,-2.16412,-3.0559464,-0.34146568,-0.45610434,-0.14357889,-1.859299,-1.5995576,-1.663143,-0.1418908,0.5907965,-0.099806085,-2.2163558,-0.5279174,-2.76817,0.5321061,-0.9524605,1.097928,-1.0432415,-0.3931096,-0.39998704,-0.33424065,1.5600337,-0.29524887,1.0252178,-1.4770374,-0.91656846,0.6715355,-0.9458999,-0.7293549,0.70372546,0.54848355,-0.6269989,0.48655543,0.816647,0.7608133,1.2988279,0.76131237,-1.5302331,-0.9996787,-0.24377999,-0.07718161,-0.83087444,-0.14891934,-0.516189,-1.6011927,-1.2168088,0.5315115,-3.5802627,-0.71191406,-2.2500937,1.2115356,1.0830951,-0.33995256,0.6423926,-0.23802748,-1.3784478,-1.2977728,-0.5803443,-1.6027726,-0.7429701,-0.6695716,-1.3848373,-1.9408841,-0.46350062,1.1091672,1.4781924,1.0170704,-0.07386347,-2.0368857,-1.0278413,-0.3487928,-0.09100893,-0.014151804,-0.71127146,0.041747294,-0.92028236,-0.24426448,0.22927792,-1.3105272,1.3852615,-0.31753206,0.5145841,0.8238369,1.1873654,-0.23596674,-0.040461697,-0.3578298,-1.4073324,0.58256805,-3.4949825,-0.8554793,-0.4534322,1.1225961,0.68014294,-0.78445584,0.033249833,-1.1925093,-1.4058212,0.6541519,-0.3110916,-0.25055635,-0.19520295,0.49324018,1.5932944,-0.43766037,1.3062688,-0.2808615,-0.41118163,-0.67059857,0.58519727,0.5485245
